Potential applied (V),Fitted Corrected WE(1).δ.Current,Corrected Corrected WE(1).δ.Current (A)
0,-9.78168384313452E-09,-1.42759624584436E-06
0.005035400390625,-9.86855008834591E-09,1.42768311208957E-06
0.01007080078125,-9.9554163335573E-09,1.48755231377351E-06
0.015106201171875,-1.00424744682976E-08,1.41314440086896E-06
0.0201416015625,-1.01295326030379E-08,1.31127066765192E-06
0.025177001953125,-1.02168766444469E-08,1.21946807635722E-06
0.03021240234375,-1.03042206858559E-08,1.14567085615626E-06
0.035247802734375,-1.0391942744442E-08,1.06760162557047E-06
0.040283203125,-1.04796648030281E-08,1.00173942623467E-06
0.045318603515625,-1.05678546319691E-08,9.46558936037784E-07
0.05035400390625,-1.065604446091E-08,8.79781766153398E-07
0.055389404296875,-1.07447890205391E-08,8.39250372747943E-07
0.0604248046875,-1.08335335801682E-08,7.77356674654989E-07
0.065460205078125,-1.09229166198578E-08,7.44760609053621E-07
0.07049560546875,-1.10122996595474E-08,7.09723137202255E-07
0.075531005859375,-1.11024013190749E-08,6.5790184825837E-07
0.08056640625,-1.11925029786024E-08,6.16456535876985E-07
0.085601806640625,-1.12833994109417E-08,5.81420853861225E-07
0.09063720703125,-1.13742958432811E-08,5.61949136689214E-07
0.095672607421875,-1.14660588606135E-08,5.35154222058309E-07
0.1007080078125,-1.15578218779458E-08,5.15378350396154E-07
0.105743408203125,-1.16505186225221E-08,4.92551818381485E-07
0.11077880859375,-1.17432153670984E-08,4.72166692616817E-07
0.115814208984375,-1.18369080084211E-08,4.52087909728523E-07
0.120849609375,-1.19306006497438E-08,4.38722994027729E-07
0.125885009765625,-1.2025346109362E-08,4.1895061678865E-07
0.13092041015625,-1.21200915689802E-08,4.03450700487071E-07
0.135955810546875,-1.22159412740148E-08,3.8520548764799E-07
0.1409912109375,-1.23117909790495E-08,3.69401681058908E-07
0.146026611328125,-1.24087906453873E-08,3.52988856639986E-07
0.15106201171875,-1.2505790311725E-08,3.42679547846065E-07
0.156097412109375,-1.26039797576375E-08,3.23521515786562E-07
0.1611328125,-1.270216920355E-08,3.14129108727058E-07
0.166168212890625,-1.2801582194316E-08,2.97719066018817E-07
0.17120361328125,-1.2900995185082E-08,2.92905702998076E-07
0.176239013671875,-1.3001659309011E-08,2.81379905209251E-07
0.1812744140625,-1.31023234329399E-08,2.70159283201674E-07
0.186309814453125,-1.32042600090201E-08,2.52226243640541E-07
0.19134521484375,-1.33061965851003E-08,2.47110586891909E-07
0.196380615234375,-1.34094206023242E-08,2.35282521910387E-07
0.201416015625,-1.3512644619548E-08,2.25590687397615E-07
0.206451416015625,-1.36171647078017E-08,2.10712325021246E-07
0.21148681640625,-1.37216847960554E-08,2.04378884519877E-07
0.216522216796875,-1.38275032282994E-08,1.87365745778306E-07
0.2215576171875,-1.39333216605434E-08,1.79507880474234E-07
0.226593017578125,-1.40404343858616E-08,1.69210049055927E-07
0.23162841796875,-1.41475471111798E-08,1.59522569200121E-07
0.236663818359375,-1.42559438181281E-08,1.44953695523593E-07
0.24169921875,-1.43643405250764E-08,1.40150446847066E-07
0.246734619140625,-1.44740047346283E-08,1.34433060765618E-07
0.25177001953125,-1.45836689441803E-08,1.18950049684169E-07
0.256805419921875,-1.46945781314404E-08,1.08961556822234E-07
0.2618408203125,-1.48054873187005E-08,1.00193767085298E-07
0.266876220703125,-1.49176130624384E-08,9.69204530229992E-08
0.27191162109375,-1.50297388061764E-08,8.540739286695E-08
0.276947021484375,-1.51430469651283E-08,7.51162984518579E-08
0.281982421875,-1.52563551240803E-08,6.42148524742653E-08
0.287017822265625,-1.53708060388639E-08,5.78922507266355E-08
0.29205322265625,-1.54852569536476E-08,5.21800005415063E-08
0.297088623046875,-1.56008056730486E-08,4.98258306192197E-08
0.3021240234375,-1.57163543924496E-08,4.25888481969333E-08
0.307159423828125,-1.58329509227569E-08,2.92494306361796E-08
0.31219482421875,-1.59495474530641E-08,2.87273958879268E-08
0.317230224609375,-1.60671370290582E-08,2.69856673981759E-08
0.322265625,-1.61847266050522E-08,1.6699017033425E-08
0.327301025390625,-1.63032499811882E-08,1.89255075000657E-08
0.33233642578125,-1.64217733573241E-08,7.11391202920757E-09
0.337371826171875,-1.65411671175932E-08,5.78372082853987E-09
0.3424072265625,-1.66605608778624E-08,3.23282650287095E-09
0.347442626953125,-1.67807577627682E-08,1.01431845205906E-08
0.35247802734375,-1.6900954647674E-08,6.67756597580829E-09
0.357513427734375,-1.7021883896715E-08,2.90750401391169E-09
0.362548828125,-1.7142813145756E-08,1.88402408326446E-09
0.367584228515625,-1.72644008537715E-08,4.14184226003037E-09
0.37261962890625,-1.73859885617869E-08,2.43237528054656E-09
0.377655029296875,-1.75081580474916E-08,5.91147836000199E-09
0.3826904296875,-1.76303275331962E-08,-3.75043560543037E-10
0.387725830078125,-1.77529997182026E-08,3.86750167133743E-09
0.39276123046875,-1.7875671903209E-08,1.0910039344685E-09
0.397796630859375,-1.79987656998179E-08,2.20591902013964E-09
0.40283203125,-1.81218594964269E-08,3.62600988706109E-09
0.407867431640625,-1.82452922024467E-08,-5.2301834441829E-10
0.41290283203125,-1.83687249084665E-08,-1.92546454464831E-09
0.417938232421875,-1.84924126073135E-08,4.60691456044835E-09
0.4229736328125,-1.86161003061605E-08,3.2047233530447E-09
0.428009033203125,-1.87399582704821E-08,-2.0882887998212E-09
0.43304443359375,-1.88638162348036E-08,-6.67433765187162E-10
0.438079833984375,-1.89877593318623E-08,9.82388238121429E-10
0.443115234375,-1.91117024289211E-08,1.41150711642965E-09
0.448150634765625,-1.92356455259798E-08,1.2302744322381E-09
0.45318603515625,-1.93595886230386E-08,1.33514404296486E-10
0.458221435546875,-1.94660822550369E-08,-2.70207722981357E-11
0.4632568359375,-1.95725758870353E-08,2.2538503011063E-09
0.468292236328125,-1.96790695190336E-08,3.92436981201181E-09
0.47332763671875,-1.9785563151032E-08,5.90006510416679E-09
0.478363037109375,-1.98028705738113E-08,-5.88275768138747E-09
0.4833984375,-1.98201779965906E-08,1.86566953305832E-09
0.488433837890625,-1.98374854193699E-08,2.28987799750526E-09
0.49346923828125,-1.98547928421492E-08,3.62961380570058E-09
0.498504638671875,-1.98721002649285E-08,-2.18638667353367E-10
0.5035400390625,-1.98894076877078E-08,1.73144870334256E-09
0.508575439453125,-1.99067151104871E-08,4.29188763653825E-09
0.51361083984375,-1.99240225332664E-08,3.80056875723428E-09
0.518646240234375,-1.99413299560457E-08,8.67843627929556E-10
0.523681640625,-1.9958637378825E-08,6.48004037362661E-09
0.528717041015625,-1.99759448016043E-08,-4.19969911927847E-10
0.53375244140625,-1.99932522243836E-08,-6.06113009982361E-10
0.538787841796875,-1.99941191472023E-08,6.06979932801075E-10
0.5438232421875,-1.9994986070021E-08,7.92358850058384E-09
0.548858642578125,-1.99958529928397E-08,8.96935349616661E-10
0.55389404296875,-1.99967199156583E-08,3.33073141739963E-09
0.558929443359375,-1.9997586838477E-08,5.15417592268283E-09
0.56396484375,-1.99984537612957E-08,6.97762042796519E-09
0.569000244140625,-1.99993206841144E-08,5.74930712074957E-09
0.57403564453125,-2.00001876069331E-08,5.13134537603287E-09
0.579071044921875,-2.00010545297518E-08,5.46098475067291E-10
0.5841064453125,-2.00019214525705E-08,3.59024610535171E-09
0.589141845703125,-2.00027883753892E-08,2.97228436063586E-09
0.59417724609375,-2.00036552982079E-08,4.4905530846713E-09
0.599212646484375,-2.00045222210266E-08,1.1260093087061E-09
0.604248046875,-2.00053891438453E-08,-4.07479779758972E-10
0.609283447265625,-2.0006256066664E-08,5.00437381775859E-10
0.61431884765625,-2.00071229894826E-08,4.76528813705981E-09
0.619354248046875,-2.00079899123013E-08,4.75767795484458E-09
0.6243896484375,-2.000885683512E-08,2.61383730387805E-09
0.629425048828125,-1.98160537831901E-08,-2.80664035580798E-09
0.63446044921875,-1.96232507312601E-08,-2.42877817174499E-09
0.639495849609375,-1.90972312839478E-08,1.90275872443265E-09
0.64453125,-1.85712118366354E-08,2.57218624561002E-09
0.649566650390625,-1.8045192389323E-08,3.26334190152496E-09
0.65460205078125,-1.75191729420107E-08,-6.1163032238117E-09
0.659637451171875,-1.50529220480034E-08,3.65005232980443E-09
0.6646728515625,-1.25866711539961E-08,5.48183757092111E-09
0.669708251953125,-1.01204202599888E-08,3.07773013530751E-09
0.67474365234375,-7.65416936598152E-09,-3.59883823780527E-09
0.679779052734375,-5.18791847197423E-09,3.50163668611652E-09
0.684814453125,-2.72166757796693E-09,-3.13079854621018E-09
0.689849853515625,1.95265360514852E-09,-1.54352263690525E-09
0.69488525390625,6.62697478826397E-09,-4.83905922760013E-09
0.699920654296875,1.19866436481581E-08,-5.20609632293978E-10
0.7049560546875,1.73463125080522E-08,-2.30567566198885E-09
0.709991455078125,2.26990976264689E-08,3.00266876988859E-09
0.71502685546875,2.80518827448856E-08,1.04472436705148E-08
0.720062255859375,3.33943461253047E-08,1.15689415169444E-08
0.72509765625,3.87368095057238E-08,2.39821432696251E-08
0.730133056640625,4.40655167144129E-08,1.84873424712621E-08
0.73516845703125,4.93942239231019E-08,4.47308229228986E-08
0.740203857421875,5.47057445995472E-08,4.94158490068669E-08
0.7452392578125,6.00172652759924E-08,6.1730269622086E-08
0.750274658203125,6.53081734276562E-08,7.44706481262484E-08
0.75531005859375,7.05990815793199E-08,8.14126867866617E-08
0.760345458984375,7.58659556349596E-08,9.58115751727185E-08
0.765380859375,8.11328296905993E-08,1.06853529965025E-07
0.770416259765625,8.63722522905299E-08,1.07969250672297E-07
0.77545166015625,9.16116748904606E-08,1.0298145575457E-07
0.780487060546875,9.68202323966645E-08,1.25310888407653E-07
0.7855224609375,1.02028789902868E-07,1.37264344498235E-07
0.790557861328125,1.07203071616716E-07,1.30770751643968E-07
0.79559326171875,1.12377353330564E-07,1.52353330664704E-07
0.800628662109375,1.1751395041106E-07,1.46345746060357E-07
0.8056640625,1.22650547491557E-07,1.69024684893511E-07
0.810699462890625,1.27746051572407E-07,1.70534372237384E-07
0.81573486328125,1.32841555653258E-07,1.8882872755001E-07
0.820770263671875,1.37892557162612E-07,1.94205854232222E-07
0.8258056640625,1.42943558671966E-07,2.04465793414433E-07
0.830841064453125,1.47946644864384E-07,2.11586456025632E-07
0.83587646484375,1.52949731056802E-07,2.34271083480578E-07
0.840911865234375,1.57901483772728E-07,2.27278513199542E-07
0.845947265625,1.62853236488654E-07,2.37070610887254E-07
0.850982666015625,1.67750229662433E-07,2.49851730599366E-07
0.85601806640625,1.72647222836212E-07,2.69651893280231E-07
0.861053466796875,1.77486019779352E-07,2.83603425606927E-07
0.8660888671875,1.82324816722492E-07,3.00911891527374E-07
0.871124267578125,1.87101967214425E-07,3.24591232559103E-07
0.87615966796875,1.91879117706359E-07,3.43082585309581E-07
0.881195068359375,1.96591154930306E-07,3.74671178355793E-07
0.88623046875,2.01303192154254E-07,4.04123540933258E-07
0.891265869140625,2.05946629520875E-07,4.3905626584487E-07
0.89630126953125,2.10590066887495E-07,4.78261451693985E-07
0.901336669921875,2.15161394793766E-07,5.08005916400891E-07
0.9063720703125,2.19732722700036E-07,5.66131728764049E-07
0.911407470703125,2.24228405275183E-07,6.18471466852827E-07
0.91644287109375,2.2872408785033E-07,6.86069994004104E-07
0.921478271484375,2.33140559744552E-07,7.67121060438479E-07
0.926513671875,2.37557031638773E-07,8.61294685466604E-07
0.931549072265625,2.41890694913916E-07,9.60693638644454E-07
0.93658447265625,2.46224358189058E-07,1.07260479885355E-06
0.941619873046875,2.50471579373264E-07,1.19280556891139E-06
0.9466552734375,2.5471880055747E-07,1.32765477646923E-06
0.951690673828125,2.58875907928089E-07,1.46805951740102E-06
0.95672607421875,2.63033015298708E-07,1.61700918020782E-06
0.961761474609375,2.67096296459359E-07,1.78525976586558E-06
0.966796875,2.7115957762001E-07,1.95351035152334E-06
0.971832275390625,2.75125277438617E-07,2.15572274197474E-06
0.97686767578125,2.79090977257223E-07,2.34877985898863E-06
0.981903076171875,2.82955296232063E-07,2.55139711839734E-06
0.9869384765625,2.86819615206903E-07,2.75096261999355E-06
0.991973876953125,2.90578708327183E-07,2.95094533594152E-06
0.99700927734375,2.94337801447462E-07,3.15397980970199E-06
1.00204467773438,2.9798777761366E-07,3.34828850372152E-06
1.007080078125,3.01637753779857E-07,3.52733840867854E-06
1.01211547851563,3.05174675847046E-07,3.697674734799E-06
1.01715087890625,3.08711597914236E-07,3.85275227185696E-06
1.02218627929688,3.12131483418805E-07,3.98997306560286E-06
1.0272216796875,3.15551368923375E-07,4.10277979684877E-06
1.03225708007813,3.1885019155002E-07,4.20689706057092E-06
1.03729248046875,3.22149014176665E-07,4.28354850398056E-06
1.04232788085938,3.25322706018256E-07,4.3240565394107E-06
1.04736328125,3.28496397859847E-07,4.34930578577833E-06
1.05239868164063,3.31540852517791E-07,4.32621633314457E-06
1.05743408203125,3.34585307175736E-07,4.2817645758233E-06
1.06246948242188,3.37496383742802E-07,4.2042444907488E-06
1.0675048828125,3.40407460309868E-07,4.0901033119243E-06
1.07254028320313,3.43180988271142E-07,3.9306981785298E-06
1.07757568359375,3.45954516232416E-07,3.74382722482281E-06
1.08261108398438,3.48586301313195E-07,3.52085879565276E-06
1.087646484375,3.51218086393974E-07,3.27042454617021E-06
1.09268188476563,3.53703917376002E-07,2.99305907926146E-06
1.09771728515625,3.5618974835803E-07,2.70348658110271E-06
1.10275268554688,3.58525404877618E-07,2.41751118358955E-06
1.1077880859375,3.60861061397206E-07,2.1376393017014E-06
1.11282348632813,3.63042322730509E-07,1.86747850655095E-06
1.11785888671875,3.65223584063812E-07,1.62478353171299E-06
1.12289428710938,3.67246238895968E-07,1.39486157638497E-06
1.1279296875,3.69268893728124E-07,1.21376774605695E-06
1.13296508789063,3.71128750894128E-07,1.03630151408251E-06
1.13800048828125,3.72988608060131E-07,8.89352860233081E-07
1.14303588867188,3.74681508236322E-07,7.58248337345087E-07
1.1480712890625,3.76374408412513E-07,6.51557876957097E-07
1.15310668945313,3.77896236728509E-07,5.42410121854346E-07
1.15814208984375,3.79418065044506E-07,4.57676429251595E-07
1.16317749023438,3.80764764576345E-07,3.76597668467176E-07
1.168212890625,3.82111464108183E-07,3.07725938932754E-07
1.17324829101563,3.83279050204479E-07,2.42517410913629E-07
1.17828369140625,3.84446636300775E-07,1.95619429769504E-07
1.18331909179688,3.85431211684938E-07,1.46288931411126E-07
1.1883544921875,3.86415787069101E-07,1.15268979927749E-07
1.19338989257813,3.87213557652142E-07,9.70825922560497E-08
1.19842529296875,3.88011328235182E-07,9.11032358343544E-08
1.20346069335938,3.88618619565494E-07,1.07119471162803E-07
1.20849609375,3.89225910895807E-07,1.26187464303752E-07
1.21353149414063,3.89639185164601E-07,1.64205475640263E-07
1.21856689453125,3.90052459433396E-07,2.17482276039273E-07
1.22360229492188,3.90268332947253E-07,2.86662917964015E-07
1.2286376953125,3.9048420646111E-07,3.74154106763754E-07
1.23367309570313,3.90499467486518E-07,4.68398808881542E-07
1.23870849609375,3.90514728511925E-07,5.77902300061824E-07
1.24374389648438,3.903263553907E-07,6.97215339139549E-07
1.248779296875,3.90137982269474E-07,8.2873540946728E-07
1.25381469726563,3.8974316169872E-07,9.76172119497463E-07
1.25885009765625,3.89348341127965E-07,1.14191937640265E-06
1.26388549804688,3.88744486493757E-07,1.31443084365092E-06
1.2689208984375,3.88140631859548E-07,1.50220109996169E-06
1.27395629882813,3.87325401509854E-07,1.72420346818439E-06
1.27899169921875,3.86510171160161E-07,1.94620583640709E-06
1.28402709960938,3.85481486499749E-07,2.22075215211438E-06
1.2890625,3.84452801839336E-07,2.50140198344667E-06
1.29409790039063,3.8320886512745E-07,2.79797513608717E-06
1.29913330078125,3.81964928415564E-07,3.10675531997767E-06
1.30416870117188,3.80504240146225E-07,3.46807953816995E-06
1.3092041015625,3.79043551876887E-07,3.79583442042473E-06
1.31423950195313,3.77364927621546E-07,4.16087329317117E-06
1.31927490234375,3.75686303366206E-07,4.51675689248012E-06
1.32431030273438,3.73788889959383E-07,4.88550826710784E-06
1.329345703125,3.71891476552561E-07,5.23900085267307E-06
1.33438110351563,3.6977476750289E-07,5.57789232061676E-06
1.33941650390625,3.6765805845322E-07,5.88626621043545E-06
1.34445190429688,3.65321908465058E-07,6.17698321228322E-06
1.3494873046875,3.62985758476896E-07,6.45244142506849E-06
1.35452270507813,3.6043039697127E-07,6.67361668597207E-06
1.35955810546875,3.57875035465644E-07,6.85511909531314E-06
1.36459350585938,3.55101078993849E-07,6.97012557841748E-06
1.36962890625,3.52327122522055E-07,7.05461448339683E-06
1.37466430664063,3.49335585970555E-07,7.11227338487184E-06
1.37969970703125,3.46344049419055E-07,7.15162173947186E-06
1.38473510742188,3.43136355910509E-07,7.12140755653045E-06
1.3897705078125,3.39928662401962E-07,7.04846876421405E-06
1.39480590820313,3.36506651804134E-07,6.94868311592627E-06
1.39984130859375,3.33084641206306E-07,6.82143164732601E-06
1.40487670898438,3.29450577168238E-07,6.64596108271337E-06
1.409912109375,3.25816513130171E-07,6.43386942435074E-06
1.41494750976563,3.21973088573279E-07,6.18270299910596E-06
1.41998291015625,3.18129664016387E-07,5.90101899573619E-06
1.42501831054688,3.14080005016989E-07,5.59855882077395E-06
1.4300537109375,3.10030346017591E-07,5.27473634112421E-06
1.43508911132813,3.05778014026771E-07,4.92707297802804E-06
1.44012451171875,3.01525682035951E-07,4.60992719305687E-06
1.44515991210938,2.97074674392455E-07,4.29944415428384E-06
1.4501953125,2.92623666748959E-07,4.0194786936358E-06
1.45523071289063,2.87978415451013E-07,3.76447159438665E-06
1.46026611328125,2.83333164153066E-07,3.58881019826251E-06
1.46530151367188,2.78498532865464E-07,3.42893598972076E-06
1.4703369140625,2.73663901577862E-07,3.34535572649151E-06
1.47537231445313,2.68645180861381E-07,3.30195986199263E-06
1.48040771484375,2.63626460144901E-07,3.31959915374376E-06
1.48544311523438,2.58429360905865E-07,3.3682497894187E-06
1.490478515625,2.5323226166683E-07,3.44741800321863E-06
1.49551391601563,2.47862906835551E-07,3.56063063151352E-06
1.50054931640625,2.42493552004271E-07,3.7196196269959E-06
1.50558471679688,2.36958466461884E-07,3.89432292426525E-06
1.5106201171875,2.31423380919498E-07,4.0781814949721E-06
1.51565551757813,2.25729479703467E-07,4.26552692213845E-06
1.52069091796875,2.20035578487435E-07,4.43761356024231E-06
1.52572631835938,2.1419015331649E-07,4.61316582581118E-06
1.53076171875,2.08344728145545E-07,4.76125227106756E-06
1.53579711914063,2.02355432315119E-07,4.90057530483301E-06
1.54083251953125,1.96366136484694E-07,4.98496669797347E-06
1.54586791992188,1.90240968193842E-07,5.06362368998406E-06
1.5509033203125,1.8411579990299E-07,5.09040079918215E-06
1.55593872070313,1.77863084083281E-07,5.0778507257097E-06
1.56097412109375,1.71610368263571E-07,5.01647252723725E-06
1.56600952148438,1.65238736989527E-07,4.9187948042267E-06
1.571044921875,1.58867105715484E-07,4.79059950309114E-06
1.57608032226563,1.52385477284637E-07,4.62913172786899E-06
1.58111572265625,1.4590384885379E-07,4.43409461670933E-06
1.58615112304688,1.3932140563234E-07,4.17219042902848E-06
1.5911865234375,1.3273896241089E-07,3.92554503041011E-06
1.59622192382813,1.2606512754825E-07,3.66693842077235E-06
1.60125732421875,1.1939129268561E-07,3.39307302207209E-06
1.60629272460938,1.12635705807689E-07,3.11637545432211E-06
1.611328125,1.05880118929768E-07,2.81831558188464E-06
1.61636352539063,9.9052610926694E-08,2.55706975799748E-06
1.62139892578125,9.22251029236201E-08,2.27446162942283E-06
1.62643432617188,8.53356699526795E-08,2.03474408377413E-06
1.6314697265625,7.84462369817389E-08,1.78587126468793E-06
1.63650512695313,7.15050138105784E-08,1.55544769383953E-06
1.64154052734375,6.45637906394178E-08,1.33417939642864E-06
1.64657592773438,5.75810234579961E-08,1.1313328413944E-06
1.651611328125,5.05982562765744E-08,9.43745075422669E-07
1.65664672851563,4.35842751089425E-08,7.80654885875193E-07
1.66168212890625,3.65702939413106E-08,6.2366821195272E-07
1.66671752929688,2.95354847900338E-08,4.85047799954095E-07
1.6717529296875,2.2500675638757E-08,3.64737934830471E-07
1.67678833007813,1.54554524956578E-08,2.65818231918761E-07
1.68182373046875,8.41022935255854E-09,1.66898529007061E-07
1.68685913085938,1.36500620945931E-09,8.93411307828585E-08
1.69189453125,-5.68021693363993E-09,3.31460372461505E-08
1.69692993164063,-1.27254400767392E-08,-2.61008141030505E-08
