Ligand,Backbone,time / s,c(TMS) / M ,c(Pd-Complex) / M,Temperature_K
Fdppe,F4-NMs-NMe2,0,0.016,0.0176955,343.15
Fdppe,F4-NMs-NMe2,302,0.016,0.0174434,343.15
Fdppe,F4-NMs-NMe2,604,0.016,0.0171469,343.15
Fdppe,F4-NMs-NMe2,906,0.016,0.0168541,343.15
Fdppe,F4-NMs-NMe2,1208,0.016,0.0166219,343.15
Fdppe,F4-NMs-NMe2,1510,0.016,0.0162781,343.15
Fdppe,F4-NMs-NMe2,1812,0.016,0.0160906,343.15
Fdppe,F4-NMs-NMe2,2114,0.016,0.0156906,343.15
Fdppe,F4-NMs-NMe2,2416,0.016,0.015461,343.15
Fdppe,F4-NMs-NMe2,2718,0.016,0.0150984,343.15
Fdppe,F4-NMs-NMe2,3021,0.016,0.0148278,343.15
Fdppe,F4-NMs-NMe2,3323,0.016,0.0144947,343.15
Fdppe,F4-NMs-NMe2,3625,0.016,0.0143084,343.15
Fdppe,F4-NMs-NMe2,3927,0.016,0.0139594,343.15
Fdppe,F4-NMs-NMe2,4229,0.016,0.013681,343.15
Fdppe,F4-NMs-NMe2,4531,0.016,0.013395,343.15
Fdppe,F4-NMs-NMe2,4833,0.016,0.0130103,343.15
Fdppe,F4-NMs-NMe2,5135,0.016,0.0129194,343.15
Fdppe,F4-NMs-NMe2,5437,0.016,0.0126176,343.15
Fdppe,F4-NMs-NMe2,5739,0.016,0.0123592,343.15
Fdppe,F4-NMs-NMe2,6041,0.016,0.0121118,343.15
Fdppe,F4-NMs-NMe2,6343,0.016,0.0118808,343.15
Fdppe,F4-NMs-NMe2,6645,0.016,0.0116503,343.15
Fdppe,F4-NMs-NMe2,6948,0.016,0.0113047,343.15
Fdppe,F4-NMs-NMe2,7250,0.016,0.0111032,343.15
Fdppe,F4-NMs-NMe2,7552,0.016,0.0109766,343.15
Fdppe,F4-NMs-NMe2,7854,0.016,0.0106246,343.15
Fdppe,F4-NMs-NMe2,8156,0.016,0.0105592,343.15
Fdppe,F4-NMs-NMe2,8458,0.016,0.0103355,343.15
Fdppe,F4-NMs-NMe2,8760,0.016,0.0100017,343.15
Fdppe,F4-NMs-NMe2,9062,0.016,0.00975996,343.15
Fdppe,F4-NMs-NMe2,9364,0.016,0.0096838,343.15
Fdppe,F4-NMs-NMe2,9667,0.016,0.00939002,343.15
Fdppe,F4-NMs-NMe2,10616,0.016,0.00884554,343.15
Fdppe,F4-NMs-NMe2,10918,0.016,0.00859486,343.15
Fdppe,F4-NMs-NMe2,11220,0.016,0.00848369,343.15
Fdppe,F4-NMs-NMe2,11522,0.016,0.00832259,343.15
Fdppe,F4-NMs-NMe2,11825,0.016,0.00811165,343.15
Fdppe,F4-NMs-NMe2,12127,0.016,0.00780941,343.15
Fdppe,F4-NMs-NMe2,12429,0.016,0.00772014,343.15
Fdppe,F4-NMs-NMe2,12731,0.016,0.00749156,343.15
Fdppe,F4-NMs-NMe2,13033,0.016,0.00738565,343.15
Fdppe,F4-NMs-NMe2,13335,0.016,0.00717156,343.15
Fdppe,F4-NMs-NMe2,13637,0.016,0.00706326,343.15
Fdppe,F4-NMs-NMe2,13939,0.016,0.00694242,343.15
Fdppe,F4-NMs-NMe2,14241,0.016,0.00668619,343.15
Fdppe,F4-NMs-NMe2,14544,0.016,0.00658353,343.15
Fdppe,F4-NMs-NMe2,14846,0.016,0.00642821,343.15
Fdppe,F4-NMs-NMe2,15148,0.016,0.0062043,343.15
Fdppe,F4-NMs-NMe2,15450,0.016,0.00606884,343.15
Fdppe,F4-NMs-NMe2,15752,0.016,0.00584992,343.15
Fdppe,F4-NMs-NMe2,16054,0.016,0.00580136,343.15
Fdppe,F4-NMs-NMe2,16356,0.016,0.00562037,343.15
Fdppe,F4-NMs-NMe2,16658,0.016,0.00549905,343.15
Fdppe,F4-NMs-NMe2,16960,0.016,0.00531793,343.15
Fdppe,F4-NMs-NMe2,17262,0.016,0.00514882,343.15
Fdppe,F4-NMs-NMe2,17565,0.016,0.0050757,343.15
Fdppe,F4-NMs-NMe2,17867,0.016,0.00492142,343.15
Fdppe,F4-NMs-NMe2,18169,0.016,0.00489763,343.15
Fdppe,F4-NMs-NMe2,18471,0.016,0.00467279,343.15
Fdppe,F4-NMs-NMe2,18773,0.016,0.00459728,343.15
Fdppe,F4-NMs-NMe2,19075,0.016,0.00446093,343.15
Fdppe,F4-NMs-NMe2,19378,0.016,0.00436906,343.15
Fdppe,F4-NMs-NMe2,19680,0.016,0.00418857,343.15
Fdppe,F4-NMs-NMe2,19982,0.016,0.00417037,343.15
Fdppe,F4-NMs-NMe2,20284,0.016,0.00402788,343.15
Fdppe,F4-NMs-NMe2,20586,0.016,0.00389241,343.15
Fdppe,F4-NMs-NMe2,20888,0.016,0.00371134,343.15
Fdppe,F4-NMs-NMe2,21190,0.016,0.00367292,343.15
Fdppe,F4-NMs-NMe2,21492,0.016,0.00353586,343.15
Fdppe,F4-NMs-NMe2,21794,0.016,0.00342543,343.15
Fdppe,F4-NMs-NMe2,22097,0.016,0.00337271,343.15
Fdppe,F4-NMs-NMe2,22399,0.016,0.00323354,343.15
Fdppe,F4-NMs-NMe2,22701,0.016,0.00323848,343.15
Fdppe,F4-NMs-NMe2,23003,0.016,0.00296322,343.15
Fdppe,F4-NMs-NMe2,23305,0.016,0.00295837,343.15
Fdppe,F4-NMs-NMe2,23607,0.016,0.00284007,343.15
Fdppe,F4-NMs-NMe2,23909,0.016,0.00268247,343.15
Fdppe,F4-NMs-NMe2,24211,0.016,0.00262123,343.15
Fdppe,F4-NMs-NMe2,24514,0.016,0.00263313,343.15
Fdppe,F4-NMs-NMe2,24816,0.016,0.00258082,343.15
Fdppe,F4-NMs-NMe2,25118,0.016,0.00253133,343.15
Fdppe,F4-NMs-NMe2,25420,0.016,0.00246608,343.15
Fdppe,F4-NMs-NMe2,25722,0.016,0.00241753,343.15
Fdppe,F4-NMs-NMe2,26024,0.016,0.00235515,343.15
Fdppe,F4-NMs-NMe2,26326,0.016,0.00230224,343.15
Fdppe,F4-NMs-NMe2,26628,0.016,0.00221479,343.15
Fdppe,F4-NMs-NMe2,26930,0.016,0.00212858,343.15
Fdppe,F4-NMs-NMe2,27233,0.016,0.00213445,343.15
Fdppe,F4-NMs-NMe2,27535,0.016,0.00208838,343.15
Fdppe,F4-NMs-NMe2,27837,0.016,0.00196375,343.15
Fdppe,F4-NMs-NMe2,28139,0.016,0.00201559,343.15
Fdppe,F4-NMs-NMe2,28442,0.016,0.00190296,343.15
Fdppe,F4-NMs-NMe2,28744,0.016,0.00182657,343.15
Fdppe,F4-NMs-NMe2,29046,0.016,0.00178628,343.15
Fdppe,F4-NMs-NMe2,29348,0.016,0.00176259,343.15
Fdppe,F4-NMs-NMe2,29650,0.016,0.00170269,343.15
Fdppe,F4-NMs-NMe2,29952,0.016,0.00172522,343.15
Fdppe,F4-NMs-NMe2,30254,0.016,0.0016152,343.15
Fdppe,F4-NMs-NMe2,30557,0.016,0.00155056,343.15
Fdppe,F4-NMs-NMe2,30859,0.016,0.00159577,343.15
Fdppe,F4-NMs-NMe2,31161,0.016,0.00154965,343.15
Fdppe,F4-NMs-NMe2,31463,0.016,0.00146264,343.15
Fdppe,F4-NMs-NMe2,31765,0.016,0.00137756,343.15
Fdppe,F4-NMs-NMe2,32067,0.016,0.00136867,343.15
Fdppe,F4-NMs-NMe2,32369,0.016,0.00135204,343.15
Fdppe,F4-NMs-NMe2,32671,0.016,0.00138226,343.15
Fdppe,F4-NMs-NMe2,32974,0.016,0.00122511,343.15
Fdppe,F4-NMs-NMe2,33276,0.016,0.00123541,343.15
Fdppe,F4-NMs-NMe2,33578,0.016,0.00116408,343.15
Fdppe,F4-NMs-NMe2,33880,0.016,0.00115799,343.15
Fdppe,F4-NMs-NMe2,34182,0.016,0.00117593,343.15
Fdppe,F4-NMs-NMe2,34484,0.016,0.00106922,343.15
Fdppe,F4-NMs-NMe2,34786,0.016,0.0011149,343.15
Fdppe,F4-NMs-NMe2,35088,0.016,0.00103764,343.15
Fdppe,F4-NMs-NMe2,35390,0.016,0.000969905,343.15
Fdppe,F4-NMs-NMe2,35693,0.016,0.000976487,343.15
Fdppe,F4-NMs-NMe2,35995,0.016,0.000946879,343.15
Fdppe,F4-NMs-NMe2,36297,0.016,0.000915989,343.15
Fdppe,F4-NMs-NMe2,36599,0.016,0.000869339,343.15
Fdppe,F4-NMs-NMe2,36901,0.016,0.000849709,343.15
Fdppe,F4-NMs-NMe2,37203,0.016,0.000817078,343.15
Fdppe,F4-NMs-NMe2,37506,0.016,0.000844496,343.15
Fdppe,F4-NMs-NMe2,37808,0.016,0.000803607,343.15
Fdppe,F4-NMs-NMe2,38110,0.016,0.000737664,343.15
Fdppe,F4-NMs-NMe2,38412,0.016,0.000801708,343.15
Fdppe,F4-NMs-NMe2,38714,0.016,0.000684199,343.15
Fdppe,F4-NMs-NMe2,39016,0.016,0.000735016,343.15
Fdppe,F4-NMs-NMe2,39318,0.016,0.000666282,343.15
Fdppe,F4-NMs-NMe2,39620,0.016,0.000630465,343.15
Fdppe,F4-NMs-NMe2,39923,0.016,0.000590671,343.15
Fdppe,F4-NMs-NMe2,40225,0.016,0.000655394,343.15
Fdppe,F4-NMs-NMe2,40527,0.016,0.00063716,343.15
